组织机构ID,组织机构代码,组织机构名称,组织机构简称,所属地市,所属省份
6951f98de2194cb482f535ae8b46568d,22310104,上海海烟烟草糖酒有限公司,上海海烟烟草糖酒有限公司,310000,310000
8484a9891f25494aa63aa1f351487614,22310101,上海海烟物流发展有限公司,上海海烟物流发展有限公司,310000,310000
a12c0b84c19f4590b77c2c7ee4f951fb,11310115,上海烟草（集团）金山烟草糖酒有限公司,上海烟草（集团）金山烟草糖酒有限公司,310000,310000
d4843d214c75465584de6ae4367216e1,11310111,上海烟草（集团）闵行烟草糖酒有限公司,上海烟草（集团）闵行烟草糖酒有限公司,310000,310000
cef5189136d14060a32f97955bd39c14,15310109,上海烟草工业印刷厂,上海烟草工业印刷厂,310000,310000
b6f0a67ecf29462c89f0c83cd53fb342,23310001,上海烟草机械有限责任公司,上海烟草机械有限责任公司,310000,310000
e0d44a0010bb4f5297e000adf974bed5,15310101,上海烟草材料厂,上海烟草材料厂,310000,310000
1153189f092a4bbebd4773dce5ae0e42,99310101,上海烟草贸易中心有限公司,上海烟草贸易中心有限公司,310000,310000
5dc1bdd2387a413797779924026ed4cc,12110101,上海烟草集团北京卷烟厂,上海烟草集团北京卷烟厂,110000,110000
6e5bd78194994e22abcc73c2f399c3ec,11310117,上海烟草集团南汇烟草糖酒有限公司,上海烟草集团南汇烟草糖酒有限公司,310000,310000
7bae821de6924658af38cf83936f54ac,11310103,上海烟草集团卢湾烟草糖酒有限公司,上海烟草集团卢湾烟草糖酒有限公司,310000,310000
3195c2daa3b74121aa22e25773e5d707,11310113,上海烟草集团嘉定烟草糖酒有限公司,上海烟草集团嘉定烟草糖酒有限公司,310000,310000
766deee596f64290a49615c0550e3dba,99320501,上海烟草集团太仓海烟烟草薄片有限公司,太仓海烟烟草薄片有限公司,320500,320000
6561650b3dce4e888a7dab563a399935,11310118,上海烟草集团奉贤烟草糖酒有限公司,上海烟草集团奉贤烟草糖酒有限公司,310000,310000
86bbd4d16f924f468e7d5add450e96a8,11310112,上海烟草集团宝山烟草糖酒有限公司,上海烟草集团宝山烟草糖酒有限公司,310000,310000
46148a457fe64c95b95ac09195699472,11310201,上海烟草集团崇明烟草糖酒有限公司,上海烟草集团崇明烟草糖酒有限公司,310000,310000
3d3cc605f3b94718b588ae54ffcc209c,11310104,上海烟草集团徐汇烟草糖酒有限公司,上海烟草集团徐汇烟草糖酒有限公司,310000,310000
e1b99fd26a8c4e279680b176f8c51b01,11310107,上海烟草集团普陀烟草糖酒有限公司,上海烟草集团普陀烟草糖酒有限公司,310000,310000
618e914d95a74cfa9ccebfa4aed78aa3,11310001,上海烟草集团有限责任公司,上海烟草集团公司,310000,310000
a18529d7afee45f1aae3fd21f606ecbe,11310110,上海烟草集团杨浦烟草糖酒有限公司,上海烟草集团杨浦烟草糖酒有限公司,310000,310000
7ba3f91428f84ddfa61c5d14250f3193,11310116,上海烟草集团松江烟草糖酒有限公司,上海烟草集团松江烟草糖酒有限公司,310000,310000
f8f7cd32d2c94b6a90d1cadd4cfc518b,11310114,上海烟草集团浦东烟草糖酒有限公司,上海烟草集团浦东烟草糖酒有限公司,310000,310000
2bfe5f4446514b3fafcdc9ba562c9a3f,11310120,上海烟草集团虹口烟草糖酒有限公司,上海烟草集团虹口烟草糖酒有限公司,310000,310000
e725c07cdf73407e9fc83c3203643511,11310109,上海烟草集团铁路烟草有限公司,上海烟草集团铁路烟草有限公司,310000,310000
50a7ec4f690e4392b0874934ce4e4829,11310105,上海烟草集团长宁烟草糖酒有限公司,上海烟草集团长宁烟草糖酒有限公司,310000,310000
8cb0cf357ca04a48b28c5825289dbf20,11310108,上海烟草集团闸北烟草糖酒有限公司,上海烟草集团闸北烟草糖酒有限公司,310000,310000
8fb281ab0da8491b8acd2d3bf76dd502,11310119,上海烟草集团青浦烟草糖酒有限公司,上海烟草集团青浦烟草糖酒有限公司,310000,310000
6c84f9a50a8d405484aa823a87dc6f8d,11310106,上海烟草集团静安烟草糖酒有限公司,上海烟草集团静安烟草糖酒有限公司,310000,310000
a20199f375744d27bc2d85505345b14c,11310101,上海烟草集团黄浦烟草糖酒有限公司,上海烟草集团黄浦烟草糖酒有限公司,310000,310000
e9e2ad5f71564e01bc779fb426328124,99310115,上海王宝和大酒店有限公司烟草供应部,上海王宝和大酒店有限公司烟草供应部,310000,310000
2f05b7e72ff74f38b3d3d93835cef4fa,15310102,上海白玉兰烟草材料有限公司,上海白玉兰烟草材料有限公司,310000,310000
b44aab3b737e469eb4192ad42574ef92,22310103,上海金叶烟草有限公司,上海金叶烟草有限公司,310000,310000
e6ef476afa7e427b8683a675e4534f4b,15310110,上海金鼎印务有限公司,上海金鼎印务有限公司,310100,310000
7600692ecebe4fe2aed2c47291f6df09,10310102,上海铁路烟草专卖分局,上海铁路分局,310000,310000
ba175ce52a424ef69b9fd606a7987434,12310101,上海高扬国际烟草有限公司,上海高扬烟草公司,310000,310000
0966504885a949199afa8fc880e8757c,11360705,上犹县烟草公司,上犹县烟草公司,360700,360000
3a39a29b3dca4ea6bd059d7cc8e923e0,10411707,上蔡县烟草专卖局,上蔡县局,411722,410000
1433ff9530284542974545c7024a9fdb,10330602,上虞市烟草专卖局,浙江省上虞市局,330600,330000
ed358e4d0a874baa99ff509d6f54b59c,11361103,上饶县烟草公司,上饶县烟草公司,361100,360000
f49af093c4394855a637e7ccebadc16e,10361104,上饶市烟草专卖局信州分局,上饶市局信州分局,361102,360000
ab6b8e9384db4aeaa8f90369d9f4bdce,11360907,上高县烟草公司,上高县烟草公司,360900,360000
66232a03d54a4907a78519025c5c0e9c,10652806,且末县烟草专卖局,且末县局,652825,650000
233351bea387431db094fea3ebbda0e9,10220402,东丰县烟草专卖局,东丰县局,220421,220000
f8c4bf64e0e64e1999e2f5e9af0d9d95,10451207,东兰县烟草专卖局,东兰县局,451224,450000
27b14913e3d446448114603ec840db93,11451205,东兰县烟草公司,东兰县烟草公司,451200,450000
816762ca886b43adbef5253da0b60bdd,10450602,东兴市烟草专卖局,东兴市局,450681,450000
b94e59ab558e49d58501e7e6ddcd07d0,10510406,东区烟草专卖局,东区局,510402,510000
81330991c9bf4fbc8a2687b52a9c893e,10320909,东台市烟草专卖局,东台市局,320981,320000
0cdc22d8ea90424ca5e42e244af05c5e,10231002,东宁县烟草专卖局,东宁县局,231024,230000
1fd4cdd1404947dca066a3531a03e6c5,10350606,东山县烟草专卖局,东山县局,350626,350000
7c5e5a263fcf4ee1ba040d60b5bce624,10370902,东平县烟草专卖局,东平县局,370923,370000
0e1a6a252b45466c954c1278f1bc7e28,11361010,东乡县烟草公司,东乡县烟草公司,361000,360000
ae2fcbd308cf42ad88cf9e7a7b7b82cf,10622907,东乡族自治县烟草专卖局,东乡族自治县烟草专卖局,622900,620000
5e43f0fb42304d4aa07630052755f2c6,10469007,东方市烟草专卖局,东方市局,469007,460000
6274dfcf92254426b52121fa4ddd31c4,10371707,东明县烟草专卖局,东明县局,371728,370000
66b545ec6cff489b82332b40be9d08f3,10320702,东海县烟草专卖局,东海县局,320722,320000
2ce42c99f2684feb9ec82aafc398ab05,10210602,东港市烟草专卖局,东港市局,210681,210000
69deff85c1854a0ba0c57a39d0842dfa,10360102,东湖区烟草专卖局,东湖区局,360102,360000
46f8ae5fa9ee4397816108183ad08e2e,10441604,东源县烟草专卖局,东源县局,441625,440000
e9961366ddbb4498bd0d67a789cf1045,10341702,东至县烟草专卖局,东至县局,341721,340000
577d7b643e85426794077a5f59cc49a9,10441901,东莞市烟草专卖局,东莞市局,441900,440000
35fa3bf54d844664bd43dae3bec5a5dc,10441902,东莞市烟草专卖局第一分局,东莞市局第一分局,441900,440000
9b59af379c58485e9315aa7ab303237e,10441904,东莞市烟草专卖局第三分局,东莞市局第三分局,441900,440000
